E,ft,Gf,softening,p,b,lch,a0,eta0,sigma0,beta,R_p,S_soft,f_b,beta_eff,Pmax,sigma_N,crack_half_width,Gf_eff,process_zone,ft_over_E,Gf_over_E,lch_over_b,sigma_N_over_ft,b_over_lch,softening_code
40000,4.0,0.12,linear,1.0,2.0,300.0,95.49296585513721,13.81976597885342,55.27906391541368,3.0,1.0,1.0,1.0092079556269302,2.9726281716996272,10034.391390478757,1.0034391390478756,2.7623866880790438,0.12,300.0,0.0001,3e-06,150.0,0.2508597847619689,0.006666666666666667,0
40000,4.0,0.12,linear,1.5,1.0,300.0,286.4788975654116,13.81976597885342,55.27906391541368,3.0,0.75,1.0,1.004589257545905,3.981726830099235,8960.660865455393,0.8960660865455392,1.3767772637715012,0.12,300.0,0.0001,3e-06,300.0,0.2240165216363848,0.0033333333333333335,0
40000,4.0,0.12,linear,1.5,2.0,300.0,143.2394487827058,13.81976597885342,55.27906391541368,3.0,0.75,1.0,1.00917851509181,3.963619855339568,8976.989952315515,0.8976989952315515,2.7535545275430025,0.12,300.0,0.0001,3e-06,150.0,0.22442474880788787,0.006666666666666667,0
40000,4.0,0.12,linear,2.0,1.0,300.0,381.97186342054886,13.81976597885342,55.27906391541368,3.0,0.6,1.0,1.0045795141626028,4.977206810919192,8180.518937299859,0.818051893729986,1.373854248780866,0.12,300.0,0.0001,3e-06,300.0,0.2045129734324965,0.0033333333333333335,0
40000,4.0,0.12,linear,2.0,2.0,300.0,190.98593171027443,13.81976597885342,55.27906391541368,3.0,0.6,1.0,1.0091590283252059,4.954620490586077,8196.018912778527,0.8196018912778527,2.747708497561732,0.12,300.0,0.0001,3e-06,150.0,0.20490047281946316,0.006666666666666667,0
40000,4.0,0.12,exponential,1.0,1.0,300.0,190.98593171027443,13.81976597885342,55.27906391541368,3.0,1.0,0.9960049926738792,1.004603977813465,2.9982293130412376,10002.214093813147,1.0002214093813147,1.3811933440395219,0.1195205991208655,298.80149780216374,0.0001,3e-06,300.0,0.25005535234532866,0.0033333333333333335,1
40000,4.0,0.12,exponential,1.0,2.0,300.0,95.49296585513721,13.81976597885342,55.27906391541368,3.0,1.0,0.9960049926738792,1.0092079556269302,2.9845514767142856,10019.36676994617,1.001936676994617,2.7623866880790438,0.1195205991208655,298.80149780216374,0.0001,3e-06,150.0,0.25048416924865424,0.006666666666666667,1
40000,4.0,0.12,exponential,1.5,1.0,300.0,286.4788975654116,13.81976597885342,55.27906391541368,3.0,0.75,1.2443201672289614,1.004589257545905,3.1999214791851687,9759.091955132224,0.9759091955132224,1.3767772637715012,0.14931842006747537,373.29605016868845,0.0001,3e-06,300.0,0.2439772988783056,0.0033333333333333335,1
40000,4.0,0.12,exponential,1.5,2.0,300.0,143.2394487827058,13.81976597885342,55.27906391541368,3.0,0.75,1.2443201672289614,1.00917851509181,3.1853697783958212,9776.042448323833,0.9776042448323834,2.7535545275430025,0.14931842006747537,373.29605016868845,0.0001,3e-06,150.0,0.24440106120809585,0.006666666666666667,1
40000,4.0,0.12,exponential,2.0,1.0,300.0,381.97186342054886,13.81976597885342,55.27906391541368,3.0,0.6,1.4926577061825816,1.0045795141626028,3.3344595953269285,9606.440920645124,0.9606440920645125,1.373854248780866,0.1791189247419098,447.7973118547745,0.0001,3e-06,300.0,0.24016102301612813,0.0033333333333333335,1
40000,4.0,0.12,exponential,2.0,2.0,300.0,190.98593171027443,13.81976597885342,55.27906391541368,3.0,0.6,1.4926577061825816,1.0091590283252059,3.31932798126728,9623.253011703813,0.9623253011703813,2.747708497561732,0.1791189247419098,447.7973118547745,0.0001,3e-06,150.0,0.24058132529259532,0.006666666666666667,1
