E,ft,Gf,softening,p,b,lch,a0,eta0,beta,Pmax,sigma_N,crack_half_width,ft_over_E,Gf_over_E,lch_over_b
20000,2.0,0.12,exponential,1.0,1.0,600.0,381.97186342054886,19.544100476116796,6.0,3779.6447300922723,0.37796447300922725,1.372480562008562,0.0001,6e-06,600.0
20000,2.0,0.12,exponential,1.0,2.0,600.0,190.98593171027443,19.544100476116796,6.0,3779.6447300922723,0.37796447300922725,2.744961124017124,0.0001,6e-06,300.0
20000,2.0,0.12,exponential,1.5,1.0,600.0,572.9577951308232,19.544100476116796,6.0,3779.6447300922723,0.37796447300922725,1.3694016364500066,0.0001,6e-06,600.0
20000,2.0,0.12,exponential,1.5,2.0,600.0,286.4788975654116,19.544100476116796,6.0,3779.6447300922723,0.37796447300922725,2.738803272900013,0.0001,6e-06,300.0
20000,2.0,0.12,exponential,2.0,1.0,600.0,763.9437268410977,19.544100476116796,6.0,3779.6447300922723,0.37796447300922725,1.3673620519909806,0.0001,6e-06,600.0
20000,2.0,0.12,exponential,2.0,2.0,600.0,381.97186342054886,19.544100476116796,6.0,3779.6447300922723,0.37796447300922725,2.734724103981961,0.0001,6e-06,300.0
20000,2.0,0.12,cornelissen,1.0,1.0,600.0,381.97186342054886,19.544100476116796,6.0,3779.6447300922723,0.37796447300922725,1.372480562008562,0.0001,6e-06,600.0
20000,2.0,0.12,cornelissen,1.0,2.0,600.0,190.98593171027443,19.544100476116796,6.0,3779.6447300922723,0.37796447300922725,2.744961124017124,0.0001,6e-06,300.0
20000,2.0,0.12,cornelissen,1.5,1.0,600.0,572.9577951308232,19.544100476116796,6.0,3779.6447300922723,0.37796447300922725,1.3694016364500066,0.0001,6e-06,600.0
20000,2.0,0.12,cornelissen,1.5,2.0,600.0,286.4788975654116,19.544100476116796,6.0,3779.6447300922723,0.37796447300922725,2.738803272900013,0.0001,6e-06,300.0
20000,2.0,0.12,cornelissen,2.0,1.0,600.0,763.9437268410977,19.544100476116796,6.0,3779.6447300922723,0.37796447300922725,1.3673620519909806,0.0001,6e-06,600.0
20000,2.0,0.12,cornelissen,2.0,2.0,600.0,381.97186342054886,19.544100476116796,6.0,3779.6447300922723,0.37796447300922725,2.734724103981961,0.0001,6e-06,300.0
20000,2.0,0.16,linear,1.0,1.0,800.0,509.2958178940651,22.56758334191025,8.0,3333.333333333333,0.3333333333333333,1.369708924818967,0.0001,8e-06,800.0
20000,2.0,0.16,linear,1.0,2.0,800.0,254.64790894703256,22.56758334191025,8.0,3333.333333333333,0.3333333333333333,2.739417849637934,0.0001,8e-06,400.0
20000,2.0,0.16,linear,1.5,1.0,800.0,763.9437268410976,22.56758334191025,8.0,3333.333333333333,0.3333333333333333,1.3670544845965715,0.0001,8e-06,800.0
20000,2.0,0.16,linear,1.5,2.0,800.0,381.9718634205488,22.56758334191025,8.0,3333.333333333333,0.3333333333333333,2.734108969193143,0.0001,8e-06,400.0
20000,2.0,0.16,linear,2.0,1.0,800.0,1018.5916357881302,22.56758334191025,8.0,3333.333333333333,0.3333333333333333,1.3652956412329018,0.0001,8e-06,800.0
20000,2.0,0.16,linear,2.0,2.0,800.0,509.2958178940651,22.56758334191025,8.0,3333.333333333333,0.3333333333333333,2.7305912824658036,0.0001,8e-06,400.0
20000,2.0,0.16,exponential,1.0,1.0,800.0,509.2958178940651,22.56758334191025,8.0,3333.333333333333,0.3333333333333333,1.369708924818967,0.0001,8e-06,800.0
20000,2.0,0.16,exponential,1.0,2.0,800.0,254.64790894703256,22.56758334191025,8.0,3333.333333333333,0.3333333333333333,2.739417849637934,0.0001,8e-06,400.0
20000,2.0,0.16,exponential,1.5,1.0,800.0,763.9437268410976,22.56758334191025,8.0,3333.333333333333,0.3333333333333333,1.3670544845965715,0.0001,8e-06,800.0
20000,2.0,0.16,exponential,1.5,2.0,800.0,381.9718634205488,22.56758334191025,8.0,3333.333333333333,0.3333333333333333,2.734108969193143,0.0001,8e-06,400.0
20000,2.0,0.16,exponential,2.0,1.0,800.0,1018.5916357881302,22.56758334191025,8.0,3333.333333333333,0.3333333333333333,1.3652956412329018,0.0001,8e-06,800.0
20000,2.0,0.16,exponential,2.0,2.0,800.0,509.2958178940651,22.56758334191025,8.0,3333.333333333333,0.3333333333333333,2.7305912824658036,0.0001,8e-06,400.0
20000,2.0,0.16,cornelissen,1.0,1.0,800.0,509.2958178940651,22.56758334191025,8.0,3333.333333333333,0.3333333333333333,1.369708924818967,0.0001,8e-06,800.0
20000,2.0,0.16,cornelissen,1.0,2.0,800.0,254.64790894703256,22.56758334191025,8.0,3333.333333333333,0.3333333333333333,2.739417849637934,0.0001,8e-06,400.0
20000,2.0,0.16,cornelissen,1.5,1.0,800.0,763.9437268410976,22.56758334191025,8.0,3333.333333333333,0.3333333333333333,1.3670544845965715,0.0001,8e-06,800.0
20000,2.0,0.16,cornelissen,1.5,2.0,800.0,381.9718634205488,22.56758334191025,8.0,3333.333333333333,0.3333333333333333,2.734108969193143,0.0001,8e-06,400.0
20000,2.0,0.16,cornelissen,2.0,1.0,800.0,1018.5916357881302,22.56758334191025,8.0,3333.333333333333,0.3333333333333333,1.3652956412329018,0.0001,8e-06,800.0
20000,2.0,0.16,cornelissen,2.0,2.0,800.0,509.2958178940651,22.56758334191025,8.0,3333.333333333333,0.3333333333333333,2.7305912824658036,0.0001,8e-06,400.0
20000,2.0,0.2,linear,1.0,1.0,1000.0,636.6197723675814,25.2313252202016,10.0,3015.113445777636,0.30151134457776363,1.3678301950283611,0.0001,1e-05,1000.0
20000,2.0,0.2,linear,1.0,2.0,1000.0,318.3098861837907,25.2313252202016,10.0,3015.113445777636,0.30151134457776363,2.7356603900567222,0.0001,1e-05,500.0
20000,2.0,0.2,linear,1.5,1.0,1000.0,954.929658551372,25.2313252202016,10.0,3015.113445777636,0.30151134457776363,1.3654632456541902,0.0001,1e-05,1000.0
20000,2.0,0.2,linear,1.5,2.0,1000.0,477.464829275686,25.2313252202016,10.0,3015.113445777636,0.30151134457776363,2.7309264913083804,0.0001,1e-05,500.0
20000,2.0,0.2,linear,2.0,1.0,1000.0,1273.2395447351628,25.2313252202016,10.0,3015.113445777636,0.30151134457776363,1.3638946206008842,0.0001,1e-05,1000.0
20000,2.0,0.2,linear,2.0,2.0,1000.0,636.6197723675814,25.2313252202016,10.0,3015.113445777636,0.30151134457776363,2.7277892412017684,0.0001,1e-05,500.0
20000,2.0,0.2,exponential,1.0,1.0,1000.0,636.6197723675814,25.2313252202016,10.0,3015.113445777636,0.30151134457776363,1.3678301950283611,0.0001,1e-05,1000.0
20000,2.0,0.2,exponential,1.0,2.0,1000.0,318.3098861837907,25.2313252202016,10.0,3015.113445777636,0.30151134457776363,2.7356603900567222,0.0001,1e-05,500.0
20000,2.0,0.2,exponential,1.5,1.0,1000.0,954.929658551372,25.2313252202016,10.0,3015.113445777636,0.30151134457776363,1.3654632456541902,0.0001,1e-05,1000.0
20000,2.0,0.2,exponential,1.5,2.0,1000.0,477.464829275686,25.2313252202016,10.0,3015.113445777636,0.30151134457776363,2.7309264913083804,0.0001,1e-05,500.0
20000,2.0,0.2,exponential,2.0,1.0,1000.0,1273.2395447351628,25.2313252202016,10.0,3015.113445777636,0.30151134457776363,1.3638946206008842,0.0001,1e-05,1000.0
20000,2.0,0.2,exponential,2.0,2.0,1000.0,636.6197723675814,25.2313252202016,10.0,3015.113445777636,0.30151134457776363,2.7277892412017684,0.0001,1e-05,500.0
20000,2.0,0.2,cornelissen,1.0,1.0,1000.0,636.6197723675814,25.2313252202016,10.0,3015.113445777636,0.30151134457776363,1.3678301950283611,0.0001,1e-05,1000.0
20000,2.0,0.2,cornelissen,1.0,2.0,1000.0,318.3098861837907,25.2313252202016,10.0,3015.113445777636,0.30151134457776363,2.7356603900567222,0.0001,1e-05,500.0
20000,2.0,0.2,cornelissen,1.5,1.0,1000.0,954.929658551372,25.2313252202016,10.0,3015.113445777636,0.30151134457776363,1.3654632456541902,0.0001,1e-05,1000.0
20000,2.0,0.2,cornelissen,1.5,2.0,1000.0,477.464829275686,25.2313252202016,10.0,3015.113445777636,0.30151134457776363,2.7309264913083804,0.0001,1e-05,500.0
20000,2.0,0.2,cornelissen,2.0,1.0,1000.0,1273.2395447351628,25.2313252202016,10.0,3015.113445777636,0.30151134457776363,1.3638946206008842,0.0001,1e-05,1000.0
20000,2.0,0.2,cornelissen,2.0,2.0,1000.0,636.6197723675814,25.2313252202016,10.0,3015.113445777636,0.30151134457776363,2.7277892412017684,0.0001,1e-05,500.0
20000,3.0,0.08,linear,1.0,1.0,177.77777777777777,113.17684842090335,10.638460810704872,1.7777777777777777,8999.999999999998,0.8999999999999998,1.390321239716264,0.00015,4e-06,177.77777777777777
20000,3.0,0.08,linear,1.0,2.0,177.77777777777777,56.58842421045168,10.638460810704872,1.7777777777777777,8999.999999999998,0.8999999999999998,2.780642479432528,0.00015,4e-06,88.88888888888889
20000,3.0,0.08,linear,1.5,1.0,177.77777777777777,169.76527263135503,10.638460810704872,1.7777777777777777,8999.999999999998,0.8999999999999998,1.384499845927309,0.00015,4e-06,177.77777777777777
